,title,view_num,url,tokenized_title,detokenized_title
134,The 3 Most Important Jiu Jitsu Techniques For A BJJ White Belt by John Danaher,410000.0,https://www.youtube.com/watch?v=QBqwipFt0Ww,"['3', 'important', 'jiu', 'jitsu', 'techniques', 'bjj', 'white', 'belt', 'john', 'danaher']",3 important jiu jitsu techniques bjj white belt john danaher
175,Basic Foot Locks & Leg Attacks For BJJ White Belts (Beginners) by Warren Brooks,56000.0,https://www.youtube.com/watch?v=Hlh2NRQ_EJQ,"['basic', 'foot', 'lock', '&', 'leg', 'attack', 'bjj', 'white', 'belt', '(', 'beginners', ')', 'warren', 'brook']",basic foot lock & leg attack bjj white belt ( beginners ) warren brook
164,The Easiest Half Guard Sweep For BJJ White Belt (Beginners) by Lucas Leite,23000.0,https://www.youtube.com/watch?v=4-Hf1h5WYfk,"['easiest', 'half', 'guard', 'sweep', 'bjj', 'white', 'belt', '(', 'beginners', ')', 'lucas', 'leite']",easiest half guard sweep bjj white belt ( beginners ) lucas leite
437,What Every BJJ White Belt Should Focus In BJJ,19000.0,https://www.youtube.com/watch?v=KmcunkVTc_g,"['every', 'bjj', 'white', 'belt', 'focus', 'in', 'bjj']",every bjj white belt focus in bjj
159,3 Tips For Every BJJ White Belt by Craig Jones,17000.0,https://www.youtube.com/watch?v=r4b--6mUfVc,"['3', 'tip', 'every', 'bjj', 'white', 'belt', 'craig', 'jones']",3 tip every bjj white belt craig jones
146,5 Tips To Your First Jiu-Jitsu Class (BJJ Beginner),13000.0,https://www.youtube.com/watch?v=NfolwJqxRqI,"['5', 'tip', 'to', 'first', 'jiu-jitsu', 'class', '(', 'bjj', 'beginner', ')']",5 tip to first jiu-jitsu class ( bjj beginner )
169,Breaking The Closed Guard Posture No-Gi For White Belt by Shawn Williams,13000.0,https://www.youtube.com/watch?v=9aokuB9Jd48,"['break', 'close', 'guard', 'posture', 'no-gi', 'white', 'belt', 'shawn', 'williams']",break close guard posture no-gi white belt shawn williams
171,Three Half Guard Details For Every BJJ White Belt by Jake Mackenzie,9700.0,https://www.youtube.com/watch?v=luI8m0OHcJY,"['three', 'half', 'guard', 'detail', 'every', 'bjj', 'white', 'belt', 'jake', 'mackenzie']",three half guard detail every bjj white belt jake mackenzie
343,"How To Teach A Beginner, Intermediate and Advanced Student In BJJ",6100.0,https://www.youtube.com/watch?v=HmnJJo7PnIk,"['to', 'teach', 'beginner', ',', 'intermediate', 'advance', 'student', 'in', 'bjj']","to teach beginner , intermediate advance student in bjj"
28,The Biggest Mistake For A BJJ White Belt - Question by Alex Delannoy,5700.0,https://www.youtube.com/watch?v=VO4u67g67xY,"['biggest', 'mistake', 'bjj', 'white', 'belt', '-', 'question', 'alex', 'delannoy']",biggest mistake bjj white belt - question alex delannoy
24,What A BJJ White Belt Beginner Should Focus On When Rolling - Question by Jordan Vladov,3500.0,https://www.youtube.com/watch?v=GJ1AyKZUzNc,"['bjj', 'white', 'belt', 'beginner', 'focus', 'on', 'roll', '-', 'question', 'jordan', 'vladov']",bjj white belt beginner focus on roll - question jordan vladov
22,Advice For A BJJ White Belt Who Feels His Opponents Are Stronger Than Him Question by J,3100.0,https://www.youtube.com/watch?v=VYZsYsDZtcU,"['advice', 'bjj', 'white', 'belt', 'feel', 'opponents', 'stronger', 'question', 'j']",advice bjj white belt feel opponents stronger question j
23,Advice For A BJJ White Belt Going To His First Jiu Jitsu Competition - Question by Alex Kamps,1700.0,https://www.youtube.com/watch?v=PtpLJ8HNrKg,"['advice', 'bjj', 'white', 'belt', 'go', 'to', 'first', 'jiu', 'jitsu', 'competition', '-', 'question', 'alex', 'kamps']",advice bjj white belt go to first jiu jitsu competition - question alex kamps
32,Advice For A BJJ Beginner Who Has Some Injury - Question by NG87 BJJ,1600.0,https://www.youtube.com/watch?v=J82-3hqah4o,"['advice', 'bjj', 'beginner', 'injury', '-', 'question', 'ng87', 'bjj']",advice bjj beginner injury - question ng87 bjj
153,What Happens When You Pick On White Belts,130000.0,https://www.youtube.com/watch?v=fLjZRMtGmdA,"['happen', 'pick', 'on', 'white', 'belt']",happen pick on white belt
203,Submission for BJJ white belts when losing guard,61000.0,https://www.youtube.com/watch?v=SpxL6Fg740g,"['submission', 'bjj', 'white', 'belt', 'lose', 'guard']",submission bjj white belt lose guard
